inv;ax;solved
disjoint;1;244
locks;1;399
nexts;1;411
order;1;346
preserve;1;253
region;1;508
disjoint;2;0
locks;2;159
nexts;2;18
order;2;6
preserve;2;9
region;2;0
disjoint;3;0
locks;3;18
nexts;3;0
order;3;0
preserve;3;0
region;3;0
disjoint;4;118
locks;4;39
nexts;4;546
order;4;53
preserve;4;28
region;4;37
disjoint;5;0
locks;5;0
nexts;5;0
order;5;5
preserve;5;0
region;5;0
disjoint;6;0
locks;6;0
nexts;6;23
order;6;4
preserve;6;0
region;6;2
disjoint;7;0
locks;7;0
nexts;7;532
order;7;1
preserve;7;0
region;7;2
disjoint;8;0
locks;8;0
nexts;8;289
order;8;16
preserve;8;0
region;8;1
disjoint;9;0
locks;9;1
nexts;9;99
order;9;11
preserve;9;0
region;9;2
disjoint;10;0
locks;10;0
nexts;10;0
order;10;0
preserve;10;1
region;10;3
disjoint;11;0
locks;11;3
nexts;11;0
order;11;0
preserve;11;0
region;11;0
disjoint;12;0
locks;12;9
nexts;12;277
order;12;0
preserve;12;0
region;12;1
disjoint;13;0
locks;13;37
nexts;13;683
order;13;0
preserve;13;0
region;13;1
disjoint;14;0
locks;14;120
nexts;14;414
order;14;2
preserve;14;0
region;14;4
disjoint;15;0
locks;15;41
nexts;15;127
order;15;9
preserve;15;0
region;15;2
disjoint;16;0
locks;16;27
nexts;16;0
order;16;13
preserve;16;0
region;16;4
disjoint;17;0
locks;17;75
nexts;17;84
order;17;20
preserve;17;0
region;17;16
disjoint;18;0
locks;18;61
nexts;18;209
order;18;0
preserve;18;0
region;18;2
disjoint;19;0
locks;19;35
nexts;19;69
order;19;0
preserve;19;0
region;19;2
disjoint;20;0
locks;20;56
nexts;20;110
order;20;10
preserve;20;0
region;20;8
disjoint;21;0
locks;21;31
nexts;21;8
order;21;4
preserve;21;0
region;21;4
disjoint;22;0
locks;22;7
nexts;22;2
order;22;6
preserve;22;0
region;22;10
disjoint;23;0
locks;23;27
nexts;23;4
order;23;16
preserve;23;0
region;23;1
disjoint;24;0
locks;24;15
nexts;24;16
order;24;6
preserve;24;0
region;24;0
disjoint;25;0
locks;25;21
nexts;25;3
order;25;44
preserve;25;0
region;25;1
disjoint;26;0
locks;26;39
nexts;26;2
order;26;300
preserve;26;0
region;26;1
disjoint;27;0
locks;27;59
nexts;27;0
order;27;154
preserve;27;9
region;27;5
disjoint;28;0
locks;28;47
nexts;28;4
order;28;35
preserve;28;8
region;28;1
disjoint;29;0
locks;29;51
nexts;29;10
order;29;85
preserve;29;0
region;29;0
disjoint;30;0
locks;30;18
nexts;30;50
order;30;165
preserve;30;0
region;30;0
disjoint;31;0
locks;31;1
nexts;31;4
order;31;89
preserve;31;0
region;31;0
disjoint;32;0
locks;32;1
nexts;32;4
order;32;190
preserve;32;0
region;32;1
disjoint;33;0
locks;33;0
nexts;33;2
order;33;80
preserve;33;0
region;33;0
disjoint;34;0
locks;34;0
nexts;34;8
order;34;151
preserve;34;0
region;34;0
disjoint;35;0
locks;35;0
nexts;35;3
order;35;144
preserve;35;0
region;35;0
disjoint;36;0
locks;36;0
nexts;36;17
order;36;64
preserve;36;0
region;36;0
disjoint;37;0
locks;37;0
nexts;37;30
order;37;92
preserve;37;1
region;37;1
disjoint;38;0
locks;38;0
nexts;38;7
order;38;28
preserve;38;0
region;38;1
disjoint;39;0
locks;39;0
nexts;39;19
order;39;9
preserve;39;0
region;39;0
disjoint;40;0
locks;40;0
nexts;40;2
order;40;19
preserve;40;0
region;40;0
disjoint;41;0
locks;41;0
nexts;41;20
order;41;32
preserve;41;0
region;41;0
disjoint;42;0
locks;42;0
nexts;42;0
order;42;14
preserve;42;0
region;42;0
disjoint;43;0
locks;43;0
nexts;43;4
order;43;4
preserve;43;0
region;43;2
disjoint;44;0
locks;44;0
nexts;44;19
order;44;0
preserve;44;0
region;44;0
disjoint;45;0
locks;45;0
nexts;45;6
order;45;0
preserve;45;0
region;45;0
disjoint;46;0
locks;46;0
nexts;46;9
order;46;0
preserve;46;0
region;46;0
disjoint;47;0
locks;47;0
nexts;47;3
order;47;0
preserve;47;0
region;47;1
disjoint;48;0
locks;48;0
nexts;48;4
order;48;0
preserve;48;0
region;48;0
disjoint;49;0
locks;49;0
nexts;49;2
order;49;0
preserve;49;0
region;49;2
disjoint;50;0
locks;50;0
nexts;50;5
order;50;0
preserve;50;0
region;50;0
disjoint;51;0
locks;51;0
nexts;51;0
order;51;0
preserve;51;0
region;51;0
disjoint;52;0
locks;52;0
nexts;52;1
order;52;0
preserve;52;0
region;52;0
disjoint;53;0
locks;53;0
nexts;53;2
order;53;0
preserve;53;0
region;53;0
disjoint;54;0
locks;54;0
nexts;54;2
order;54;0
preserve;54;0
region;54;0
disjoint;55;0
locks;55;0
nexts;55;5
order;55;0
preserve;55;0
region;55;0
disjoint;56;0
locks;56;0
nexts;56;2
order;56;0
preserve;56;0
region;56;0
disjoint;57;0
locks;57;0
nexts;57;4
order;57;0
preserve;57;0
region;57;0
disjoint;58;0
locks;58;0
nexts;58;3
order;58;0
preserve;58;0
region;58;0
disjoint;59;0
locks;59;0
nexts;59;5
order;59;0
preserve;59;0
region;59;0
disjoint;60;0
locks;60;0
nexts;60;1
order;60;0
preserve;60;0
region;60;0
